epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2237.74,0.401,0.59533,0.37975,0.90778,0.59885,0.59578,0.58201,0.52345,0.57073,0.5596,0.54153,0.46737,0.69277,2.63305,1.32684,1.06957,0.00049925,0.00049925,0.00049925
93,2263.06,0.39911,0.61226,0.38066,0.90806,0.58642,0.58653,0.59428,0.52992,0.5747,0.56697,0.56174,0.47526,0.6959,2.47793,1.27893,1.03179,0.000491,0.000491,0.000491
94,2288.33,0.39186,0.62886,0.37074,0.91134,0.58645,0.59675,0.58076,0.51247,0.55923,0.56968,0.53975,0.46879,0.72883,2.52016,1.40665,1.10724,0.00048275,0.00048275,0.00048275
95,2313.34,0.40076,0.65377,0.38379,0.91849,0.572,0.59597,0.57914,0.50634,0.53971,0.57215,0.53202,0.46182,0.7402,2.58018,1.35937,1.07928,0.0004745,0.0004745,0.0004745
96,2337.74,0.40322,0.62561,0.37559,0.91464,0.61458,0.58304,0.57539,0.50219,0.58987,0.55854,0.52755,0.46456,0.72326,2.63144,1.32389,1.08211,0.00046625,0.00046625,0.00046625
97,2362.48,0.39903,0.61706,0.37288,0.90675,0.57324,0.6232,0.59359,0.52412,0.56682,0.57642,0.55132,0.48935,0.72372,2.69256,1.36377,1.08499,0.000458,0.000458,0.000458
98,2387.86,0.38966,0.61518,0.36916,0.91019,0.56846,0.62659,0.57518,0.51359,0.5452,0.5911,0.5376,0.47866,0.6897,2.74432,1.33795,1.03342,0.00044975,0.00044975,0.00044975
99,2412.39,0.39346,0.59843,0.36435,0.91079,0.56968,0.64979,0.59596,0.52636,0.54625,0.6139,0.54355,0.48757,0.69828,2.53393,1.37205,1.06864,0.0004415,0.0004415,0.0004415
100,2437.21,0.38077,0.61059,0.361,0.90236,0.57175,0.61319,0.58134,0.51076,0.54862,0.57869,0.53499,0.46851,0.70071,2.65514,1.41944,1.058,0.00043325,0.00043325,0.00043325
101,2461.83,0.38015,0.60387,0.35667,0.90406,0.58543,0.59561,0.57316,0.5056,0.52939,0.59163,0.51184,0.45904,0.70396,2.63519,1.3975,1.07975,0.000425,0.000425,0.000425
102,2487.49,0.37549,0.58894,0.35217,0.90387,0.60057,0.58557,0.57616,0.51552,0.55832,0.54538,0.51474,0.46615,0.72619,2.79928,1.30675,1.1304,0.00041675,0.00041675,0.00041675
103,2512.63,0.37904,0.60724,0.35195,0.90242,0.58948,0.59469,0.56685,0.50505,0.55734,0.55908,0.5113,0.46097,0.72758,2.60246,1.35248,1.13487,0.0004085,0.0004085,0.0004085
104,2537.67,0.38075,0.58406,0.36483,0.90487,0.59627,0.58124,0.56153,0.50673,0.56154,0.55897,0.51027,0.45914,0.68207,2.50326,1.29459,1.02059,0.00040025,0.00040025,0.00040025
105,2562.39,0.37349,0.57911,0.35096,0.90549,0.59325,0.60868,0.5637,0.50622,0.56142,0.57307,0.50384,0.45068,0.67217,2.48741,1.36776,1.03754,0.000392,0.000392,0.000392
106,2587.25,0.3722,0.60213,0.34092,0.90166,0.5854,0.59834,0.56416,0.50331,0.55468,0.56624,0.50751,0.45933,0.68059,2.62825,1.33126,1.05939,0.00038375,0.00038375,0.00038375
107,2611.85,0.36389,0.56999,0.34794,0.89761,0.61161,0.58724,0.57282,0.51135,0.57571,0.552,0.51364,0.45858,0.6934,2.72716,1.32385,1.03063,0.0003755,0.0003755,0.0003755
108,2636.41,0.3737,0.58141,0.34681,0.89951,0.60178,0.60265,0.58702,0.52415,0.56938,0.56596,0.53331,0.47191,0.69737,2.71306,1.35156,1.05885,0.00036725,0.00036725,0.00036725
109,2660.93,0.36729,0.56735,0.34226,0.90026,0.59535,0.59713,0.58539,0.52219,0.55702,0.55427,0.52938,0.47448,0.69242,2.62983,1.41081,1.06715,0.000359,0.000359,0.000359
110,2685.59,0.35718,0.5671,0.33706,0.89706,0.59566,0.61273,0.58357,0.51378,0.56072,0.57361,0.53229,0.4689,0.71741,2.61529,1.43899,1.04755,0.00035075,0.00035075,0.00035075
111,2710.25,0.36638,0.58196,0.34396,0.89955,0.59567,0.60665,0.57269,0.50939,0.56294,0.57092,0.52478,0.46798,0.69368,2.66876,1.43278,1.05363,0.0003425,0.0003425,0.0003425
112,2735.11,0.37013,0.55439,0.33699,0.90079,0.60238,0.59345,0.56378,0.50072,0.56401,0.55459,0.51304,0.46361,0.73738,2.84312,1.42369,1.13539,0.00033425,0.00033425,0.00033425
113,2759.64,0.35984,0.56741,0.32868,0.89668,0.58357,0.61013,0.58391,0.52484,0.54606,0.56913,0.5198,0.4674,0.68953,2.94405,1.36467,1.07291,0.000326,0.000326,0.000326
114,2784.37,0.36687,0.55807,0.33432,0.90237,0.60411,0.59266,0.57564,0.51552,0.56441,0.56608,0.51517,0.463,0.69742,2.83816,1.34027,1.06793,0.00031775,0.00031775,0.00031775
115,2808.54,0.35106,0.53765,0.32939,0.89932,0.58303,0.61943,0.58346,0.523,0.55494,0.58542,0.52524,0.47248,0.70634,2.73349,1.36088,1.03828,0.0003095,0.0003095,0.0003095
116,2833.35,0.36003,0.54462,0.33628,0.90351,0.60095,0.59809,0.57418,0.51328,0.56048,0.57554,0.52338,0.46196,0.67017,2.56179,1.34487,1.02665,0.00030125,0.00030125,0.00030125
117,2857.88,0.35315,0.5518,0.33109,0.89161,0.59454,0.607,0.58262,0.52085,0.56474,0.57703,0.53922,0.47635,0.71332,2.64555,1.34845,1.08121,0.000293,0.000293,0.000293
